year;TR_ID;city;gender;total_crime;homicide;assault;sexual_crimes;kidnapping;defamation;theft;robbery;swindling;production_and_commerce_of_drugs;use_and_purchase_of_drugs;forgery;bad_treatment;embezzlement;bribery;smuggling;traffic_crimes;forestry_crimes;crimes_related_with_firearms_and_knifes;opposition_to_the_bankruptcy_and_enforcement_law;opposition_to_the_military_criminal_law;threat;damage_to_property;prevention_of_performance;contrary_to_the_measures_for_family_protection;other_crimes;unknown
2019;TR332;Afyonkarahisar;Male;3062;138;439;65;46;52;383;100;101;110;47;67;1;3;1;45;119;4;29;328;28;253;37;55;15;596;0
2019;TR332;Afyonkarahisar;Female;156;4;9;0;1;6;30;3;10;8;3;3;0;0;0;3;1;0;0;10;0;11;1;5;0;48;0
2019;TR333;Kütahya;Male;1654;62;265;50;20;33;199;59;33;55;19;27;0;10;0;31;56;7;15;151;14;120;22;21;27;358;0
2019;TR333;Kütahya;Female;103;2;16;1;1;1;14;1;5;5;0;0;0;0;0;1;1;0;0;12;0;3;0;3;1;36;0
2019;TR334;Uşak;Male;1462;50;226;31;26;28;137;58;48;107;32;30;0;1;0;24;76;1;30;148;0;106;18;25;36;224;0
2019;TR334;Uşak;Female;78;2;8;1;0;4;19;3;1;9;0;3;0;0;0;0;0;0;1;6;0;3;0;0;3;15;0
2019;TR411;Bursa;Male;9240;251;1340;232;106;171;1463;420;309;552;453;249;3;4;3;121;301;17;358;670;36;480;101;119;212;1269;0
2019;TR411;Bursa;Female;486;3;34;0;5;16;125;6;6;108;10;9;0;0;0;5;7;0;7;31;0;13;9;8;4;80;0
2019;TR412;Eskişehir;Male;2634;108;419;76;31;43;440;145;74;134;108;53;1;1;2;36;123;3;45;175;33;155;36;26;50;317;0
2019;TR412;Eskişehir;Female;131;4;12;0;3;6;37;5;4;12;3;0;0;0;0;0;1;1;0;11;0;5;5;4;1;17;0
2019;TR413;Bilecik;Male;804;19;95;19;9;12;112;19;21;23;18;17;2;0;1;20;36;4;12;31;27;50;6;7;15;229;0
2019;TR413;Bilecik;Female;28;1;3;0;2;0;7;0;1;0;0;0;0;0;0;3;0;0;0;0;0;3;0;1;0;7;0
2019;TR421;Kocaeli;Male;5200;214;646;178;80;78;845;242;154;498;139;144;2;2;1;103;230;37;135;95;39;290;64;79;95;808;2
2019;TR421;Kocaeli;Female;245;1;20;1;3;6;86;4;7;21;0;12;0;0;0;2;1;0;0;0;0;13;3;2;4;59;0
2019;TR422;Sakarya;Male;3977;137;479;125;100;61;526;75;66;156;246;109;1;3;0;72;266;68;186;237;19;286;39;79;53;588;0
2019;TR422;Sakarya;Female;163;4;10;0;1;3;45;6;5;4;5;7;0;1;0;5;1;0;2;15;0;11;2;2;0;34;0
2019;TR423;Düzce;Male;1490;55;176;36;35;25;224;53;16;102;59;23;0;3;0;43;94;7;24;110;5;107;20;21;27;224;1
2019;TR423;Düzce;Female;49;2;3;1;2;3;9;0;3;2;1;2;0;0;0;2;1;0;0;3;0;3;0;0;2;10;0
2019;TR424;Bolu;Male;1056;19;169;31;16;32;107;17;25;35;22;12;0;5;4;37;109;16;21;116;8;64;19;9;29;134;0
2019;TR424;Bolu;Female;56;1;10;0;0;1;12;0;2;1;0;1;0;0;0;3;3;0;0;16;0;1;1;1;0;3;0
2019;TR425;Yalova;Male;836;31;90;18;6;9;126;38;23;70;33;19;0;0;0;3;50;1;24;34;2;51;6;13;45;144;0
2019;TR425;Yalova;Female;62;1;4;0;0;1;20;1;2;9;2;1;0;0;0;0;1;0;1;1;0;1;0;0;1;16;0
2019;TR510;Ankara;Male;13021;422;1553;276;130;167;2621;814;520;1060;404;436;3;7;8;236;395;3;230;471;249;643;168;123;282;1799;1
2019;TR510;Ankara;Female;559;9;53;3;5;14;155;17;28;67;14;10;2;0;0;2;7;0;1;27;0;18;6;4;3;114;0
2019;TR521;Konya;Male;8778;244;1197;177;89;138;1322;407;168;541;405;185;5;4;3;163;542;6;162;873;67;520;82;98;79;1298;3
2019;TR521;Konya;Female;356;6;27;0;2;11;57;10;9;49;25;4;0;1;0;5;9;0;2;28;0;15;1;4;2;89;0
2019;TR522;Karaman;Male;1211;43;204;33;15;32;182;53;12;49;28;24;1;3;0;23;70;3;27;73;4;118;17;25;11;159;2
2019;TR522;Karaman;Female;37;0;2;0;0;1;5;4;1;3;0;1;0;0;0;0;0;0;0;2;0;3;1;0;0;14;0
2019;TR611;Antalya;Male;12231;337;1546;226;150;205;2282;534;408;793;376;404;2;12;7;224;692;38;195;783;31;731;89;144;186;1836;0
2019;TR611;Antalya;Female;643;10;59;2;8;18;132;23;26;71;19;25;2;0;0;9;19;1;3;40;0;21;3;11;6;135;0
2019;TR612;Isparta;Male;2173;62;315;41;20;41;290;63;82;131;108;28;0;6;1;25;151;7;35;119;34;166;16;24;24;384;0
2019;TR612;Isparta;Female;173;2;14;1;1;8;22;2;8;19;22;3;0;1;0;1;1;1;1;8;0;4;0;2;0;52;0
2019;TR613;Burdur;Male;1104;38;166;23;17;46;145;27;38;26;13;19;0;5;1;22;86;7;14;74;12;125;14;25;14;147;0
2019;TR613;Burdur;Female;68;2;14;0;1;3;14;0;3;1;1;2;0;0;1;0;0;0;1;4;0;5;1;0;0;15;0
2019;TR621;Adana;Male;9859;412;1049;152;75;134;1550;465;261;1460;290;243;4;3;6;477;263;24;268;255;71;507;85;99;138;1567;1
2019;TR621;Adana;Female;330;6;22;1;3;3;69;15;9;38;15;22;5;0;0;10;2;2;1;8;0;11;2;9;1;76;0
2019;TR622;Mersin;Male;6887;243;774;154;64;116;1129;352;173;809;152;162;1;3;1;226;324;38;103;416;24;291;86;99;155;991;1
2019;TR622;Mersin;Female;374;6;16;0;2;8;99;10;12;38;13;10;1;0;0;8;4;3;2;20;0;12;3;9;5;93;0
2019;TR631;Hatay;Male;4636;140;603;87;49;61;696;210;121;362;90;61;0;2;7;360;119;46;95;186;54;206;35;50;79;915;2
2019;TR631;Hatay;Female;152;1;10;1;2;1;39;3;9;15;3;3;0;0;0;4;0;13;0;11;0;2;1;0;1;33;0
2019;TR632;Kahramanmaraş;Male;2698;129;411;88;30;29;414;124;33;175;48;49;0;1;2;97;107;24;42;99;19;170;29;26;69;483;0
2019;TR632;Kahramanmaraş;Female;90;0;8;0;0;1;23;6;2;4;1;6;0;0;0;1;0;0;0;7;0;5;1;1;0;24;0
2019;TR633;Osmaniye;Male;1785;83;220;34;21;28;295;83;19;146;80;25;1;0;0;60;60;22;40;88;13;126;18;16;27;277;3
2019;TR633;Osmaniye;Female;80;1;10;0;0;0;23;1;0;8;3;0;0;0;0;0;2;0;0;10;0;2;1;3;0;16;0
2019;TR711;Kırıkkale;Male;827;30;115;26;19;15;123;25;13;76;34;7;0;3;0;22;28;1;19;42;14;45;4;14;27;125;0
2019;TR711;Kırıkkale;Female;46;2;1;0;4;2;14;2;1;3;1;0;0;0;0;1;0;0;1;2;0;1;0;2;0;9;0
2019;TR712;Aksaray;Male;1426;43;220;21;25;36;198;60;16;90;89;33;0;2;1;60;67;0;28;42;4;118;14;17;0;242;0
2019;TR712;Aksaray;Female;69;1;9;0;1;1;17;0;2;1;2;3;0;0;0;1;1;0;0;0;0;4;1;1;1;23;0
2019;TR713;Niğde;Male;1215;27;229;27;9;36;139;46;26;60;30;25;0;0;0;16;79;0;38;77;7;57;17;16;54;199;1
2019;TR713;Niğde;Female;60;1;9;0;0;2;8;0;2;8;3;3;0;0;0;4;0;0;0;3;0;1;0;0;2;14;0
2019;TR714;Nevşehir;Male;1103;48;131;46;11;21;122;56;26;102;27;22;1;1;0;17;62;0;15;117;7;86;14;13;17;141;0
2019;TR714;Nevşehir;Female;46;1;7;1;0;1;13;1;0;1;0;0;0;0;0;0;1;0;1;3;0;2;0;2;3;9;0
2019;TR715;Kırşehir;Male;641;22;84;13;15;14;82;21;15;72;10;9;1;1;0;28;25;0;10;32;4;47;15;14;5;100;2
2019;TR715;Kırşehir;Female;25;1;5;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;8;0
2019;TR721;Kayseri;Male;5389;167;696;155;71;80;761;279;121;410;133;66;3;2;1;92;135;1;107;698;59;273;75;77;143;784;0
2019;TR721;Kayseri;Female;311;1;28;0;3;9;112;10;7;29;6;5;2;0;0;1;1;0;5;23;0;8;8;4;0;49;0
2019;TR722;Sivas;Male;1882;54;355;46;25;37;214;51;40;76;58;21;1;0;1;60;85;6;51;150;36;114;32;49;14;306;0
2019;TR722;Sivas;Female;96;0;9;0;0;4;17;2;5;5;2;1;0;0;0;2;0;0;1;12;0;5;0;1;0;30;0
2019;TR723;Yozgat;Male;887;37;117;32;16;13;102;24;17;47;18;17;0;2;0;22;34;0;14;92;4;77;11;17;20;153;1
2019;TR723;Yozgat;Female;27;1;4;0;0;0;8;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0
2019;TR811;Zonguldak;Male;1833;44;284;57;31;30;221;34;19;74;40;32;0;0;0;11;144;37;43;179;4;151;22;43;101;232;0
2019;TR811;Zonguldak;Female;98;3;16;1;0;3;23;4;2;1;0;1;1;0;0;0;1;3;1;6;0;12;0;1;5;14;0
2019;TR812;Karabük;Male;694;30;112;28;13;28;91;29;12;25;7;12;0;1;0;11;40;4;12;72;2;59;8;19;5;74;0
2019;TR812;Karabük;Female;44;0;8;0;0;2;4;2;2;1;0;0;0;0;0;0;0;0;0;8;0;6;5;0;0;6;0
2019;TR813;Bartın;Male;530;15;87;27;10;16;38;16;6;15;1;8;1;0;0;10;47;8;7;36;5;48;12;17;8;92;0
2019;TR813;Bartın;Female;25;1;4;0;0;1;5;0;0;0;0;4;0;0;0;0;1;0;0;0;0;2;0;1;1;5;0
2019;TR821;Kastamonu;Male;949;41;194;28;17;29;90;31;13;22;21;23;2;2;1;14;42;11;25;60;4;71;11;20;31;145;1
2019;TR821;Kastamonu;Female;37;2;6;0;0;2;9;0;0;0;0;2;0;0;0;0;0;0;0;4;0;6;0;0;0;6;0
2019;TR822;Çankırı;Male;367;15;59;9;14;9;57;7;7;13;5;10;0;1;0;6;8;0;3;7;36;19;9;6;10;57;0
2019;TR822;Çankırı;Female;14;0;2;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;5;0
2019;TR823;Sinop;Male;719;26;107;29;17;16;77;23;9;23;10;9;0;0;0;8;69;9;24;40;4;71;7;7;18;114;2
2019;TR823;Sinop;Female;26;2;1;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;13;0
2019;TR831;Samsun;Male;5241;164;756;143;81;89;568;134;89;222;443;127;1;1;2;96;251;42;216;451;44;312;68;105;154;682;0
2019;TR831;Samsun;Female;241;4;22;0;3;2;67;2;12;7;7;11;1;0;0;2;4;0;4;21;0;10;4;8;3;47;0
2019;TR832;Tokat;Male;1476;52;241;39;26;38;152;43;30;43;21;38;1;2;1;36;118;17;35;85;15;102;17;24;54;246;0
2019;TR832;Tokat;Female;49;2;6;0;1;0;7;1;2;0;0;0;0;0;0;2;1;0;1;4;0;2;1;0;1;18;0
2019;TR833;Çorum;Male;1692;98;244;47;19;18;170;75;45;52;18;29;0;0;0;31;113;14;36;175;5;155;13;21;21;293;0
2019;TR833;Çorum;Female;89;1;9;2;1;1;30;5;4;2;0;2;0;0;0;0;0;0;0;12;0;3;0;0;1;16;0
2019;TR834;Amasya;Male;1348;43;200;31;22;22;133;20;30;43;29;27;0;1;0;18;112;3;22;222;11;106;13;21;25;194;0
2019;TR834;Amasya;Female;49;3;5;0;1;0;7;0;3;2;0;2;0;0;0;0;1;0;1;11;0;2;0;3;0;8;0
2019;TR901;Trabzon;Male;1849;63;303;51;20;30;238;37;33;76;89;38;1;1;0;69;102;9;85;73;9;97;27;43;19;336;0
2019;TR901;Trabzon;Female;54;1;4;0;2;2;10;0;1;3;1;2;0;0;0;6;0;0;1;1;0;2;0;1;0;17;0
2019;TR902;Ordu;Male;2169;81;399;94;45;60;260;57;42;77;65;41;0;1;0;37;120;24;50;116;9;170;36;38;90;257;0
2019;TR902;Ordu;Female;86;2;16;1;2;2;15;0;1;2;2;1;0;0;0;1;2;3;0;10;0;5;2;1;3;15;0
2019;TR903;Giresun;Male;1239;41;201;49;29;41;103;33;24;33;32;26;4;1;0;20;99;18;44;66;6;100;18;27;35;189;0
2019;TR903;Giresun;Female;54;4;8;0;1;0;11;0;1;1;0;3;2;0;0;0;0;0;1;4;0;1;0;0;5;12;0
2019;TR904;Rize;Male;1085;44;137;30;7;25;100;28;34;56;59;23;0;3;0;73;44;9;65;34;8;78;18;26;24;160;0
2019;TR904;Rize;Female;33;0;6;0;2;0;8;0;0;1;1;0;0;0;0;3;1;0;2;2;0;2;0;0;0;5;0
2019;TR905;Artvin;Male;461;10;46;15;4;13;46;7;3;4;3;12;0;0;0;80;9;7;7;35;4;19;2;7;18;110;0
2019;TR905;Artvin;Female;15;0;2;0;1;0;2;0;0;0;0;1;0;0;0;2;0;0;0;1;0;1;0;0;1;4;0
2019;TR906;Gümüşhane;Male;249;8;35;9;6;4;31;3;2;19;0;2;0;0;0;9;22;4;1;5;2;19;8;13;6;41;0
2019;TR906;Gümüşhane;Female;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2019;TRA11;Erzurum;Male;2140;89;260;37;21;29;274;74;28;122;34;34;1;3;2;107;48;1;64;180;93;97;16;38;48;440;0
2019;TRA11;Erzurum;Female;50;0;4;1;0;0;6;1;0;3;0;0;1;0;0;0;0;0;0;7;0;2;0;0;0;25;0
2019;TRA12;Erzincan;Male;670;17;88;12;6;11;114;13;6;55;8;6;1;0;0;38;38;1;4;17;35;32;9;9;29;121;0
2019;TRA12;Erzincan;Female;32;1;1;0;0;1;10;0;2;6;0;0;0;0;0;3;0;0;0;1;0;0;0;1;1;5;0
2019;TRA13;Bayburt;Male;173;10;34;7;4;1;13;4;2;7;5;3;0;0;0;1;8;0;2;3;9;13;3;1;2;41;0
2019;TRA13;Bayburt;Female;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
2019;TRA21;Ağrı;Male;1489;91;134;24;14;14;150;51;27;96;20;16;1;1;2;226;18;0;28;18;75;61;11;28;37;346;0
2019;TRA21;Ağrı;Female;37;1;3;0;1;1;7;0;0;7;0;1;0;0;0;3;0;0;1;0;0;2;1;1;0;8;0
2019;TRA22;Kars;Male;829;54;161;15;13;15;77;33;15;38;15;13;1;2;1;20;25;5;33;6;37;51;4;20;13;162;0
2019;TRA22;Kars;Female;44;2;6;4;3;3;9;2;3;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;7;0
2019;TRA23;Iğdır;Male;742;34;117;12;10;7;95;29;11;20;19;10;1;0;0;56;23;0;24;13;9;45;6;17;27;157;0
2019;TRA23;Iğdır;Female;13;1;2;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
2019;TRA24;Ardahan;Male;328;13;58;7;10;6;36;2;2;5;2;2;0;1;0;12;16;4;8;2;4;17;4;12;3;102;0
2019;TRA24;Ardahan;Female;7;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
2019;TRB11;Malatya;Male;2008;101;288;31;15;25;279;106;45;189;74;38;0;0;0;47;73;2;76;29;49;72;21;42;90;316;0
2019;TRB11;Malatya;Female;82;0;3;0;0;0;15;5;0;4;0;0;0;0;0;0;0;0;1;2;0;4;0;1;3;44;0
2019;TRB12;Elâzığ;Male;1749;72;239;27;14;15;236;87;34;187;91;27;1;2;0;54;48;0;39;77;29;86;20;23;26;315;0
2019;TRB12;Elâzığ;Female;68;2;6;0;0;0;17;4;0;3;1;1;2;0;0;0;1;0;1;5;0;6;1;1;0;17;0
2019;TRB13;Bingöl;Male;533;12;51;5;10;14;79;13;8;85;9;6;0;0;0;18;10;3;12;2;12;16;3;6;5;154;0
2019;TRB13;Bingöl;Female;14;1;1;0;0;0;2;1;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0
2019;TRB14;Tunceli;Male;217;11;46;2;6;2;15;4;2;10;8;1;1;0;0;3;9;1;5;3;16;6;2;4;5;55;0
2019;TRB14;Tunceli;Female;9;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;3;0
2019;TRB21;Van;Male;2395;69;226;24;17;25;329;66;19;264;23;31;0;1;1;285;27;0;65;31;52;59;13;25;47;693;3
2019;TRB21;Van;Female;46;0;4;0;0;0;9;1;3;7;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;18;0
2019;TRB22;Muş;Male;718;43;55;13;3;7;105;24;5;73;19;10;0;1;0;34;6;2;26;3;8;32;9;10;14;216;0
2019;TRB22;Muş;Female;23;3;1;0;0;1;3;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0
2019;TRB23;Bitlis;Male;865;32;116;10;4;4;126;15;3;76;44;8;0;1;0;72;8;0;17;4;20;31;3;13;10;248;0
2019;TRB23;Bitlis;Female;18;0;2;0;0;0;3;0;2;5;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;3;0
2019;TRB24;Hakkari;Male;432;21;22;4;1;2;28;8;3;73;8;18;0;0;0;62;3;0;11;3;15;2;4;2;1;139;2
2019;TRB24;Hakkari;Female;11;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
2019;TRC11;Gaziantep;Male;7667;285;980;74;56;57;1506;441;160;614;160;235;0;1;2;402;108;8;416;439;117;254;75;45;64;1164;4
2019;TRC11;Gaziantep;Female;217;7;16;0;3;0;49;16;10;10;1;6;0;0;0;4;0;0;13;18;0;5;0;2;0;57;0
2019;TRC12;Adıyaman;Male;1195;50;136;30;3;15;176;38;38;130;65;33;0;0;0;27;31;1;35;25;10;52;13;12;17;258;0
2019;TRC12;Adıyaman;Female;56;0;3;0;2;0;13;1;8;1;4;1;0;0;0;0;1;0;0;1;0;0;1;0;0;20;0
2019;TRC13;Kilis;Male;675;35;67;9;3;8;98;27;9;76;26;5;2;0;3;102;15;0;18;23;9;16;5;9;8;102;0
2019;TRC13;Kilis;Female;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
2019;TRC21;Şanlıurfa;Male;4252;143;432;50;44;28;737;177;89;633;274;84;4;0;3;185;50;2;157;37;37;107;30;45;45;859;0
2019;TRC21;Şanlıurfa;Female;124;5;3;0;2;1;39;4;9;12;3;2;1;0;0;2;0;0;3;0;0;3;3;1;0;31;0
2019;TRC22;Diyarbakır;Male;4586;206;473;45;34;28;669;304;33;925;170;130;0;1;3;235;78;4;176;34;50;103;25;30;43;786;1
2019;TRC22;Diyarbakır;Female;127;10;9;4;1;3;14;1;1;33;1;1;0;0;0;4;1;0;0;1;0;2;1;0;1;39;0
2019;TRC31;Mardin;Male;1501;43;137;27;5;10;254;67;15;133;54;31;0;0;1;157;17;3;55;15;22;34;14;18;23;366;0
2019;TRC31;Mardin;Female;47;4;1;0;1;1;16;1;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;18;0
2019;TRC32;Batman;Male;1080;33;118;13;3;10;270;49;12;98;18;27;0;1;3;46;12;0;39;10;6;31;11;5;40;225;0
2019;TRC32;Batman;Female;46;0;3;0;1;0;23;4;0;0;0;1;1;0;0;1;0;0;0;0;0;2;1;0;1;8;0
2019;TRC33;Şırnak;Male;1363;30;62;4;16;6;117;16;11;44;27;27;0;1;2;634;10;0;13;0;39;8;3;12;9;272;0
2019;TRC33;Şırnak;Female;26;1;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;16;0
2019;TRC34;Siirt;Male;603;49;67;12;2;4;128;25;1;46;17;7;2;0;0;47;6;2;16;2;13;14;6;11;5;121;0
2019;TRC34;Siirt;Female;15;1;0;0;0;0;5;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0
2018;TR100;İstanbul;Male;43101;1541;4739;890;560;448;7484;3779;1931;2959;2729;2673;7;18;36;959;648;29;1396;1528;145;1038;407;328;875;5939;15
2018;TR100;İstanbul;Female;1701;27;73;6;15;27;574;74;65;128;32;105;13;1;1;44;9;1;11;110;0;15;17;12;34;307;0
2018;TR211;Tekirdağ;Male;2967;104;330;74;50;45;611;168;83;177;162;101;0;4;1;53;97;5;41;210;86;126;39;22;101;276;1
2018;TR211;Tekirdağ;Female;121;1;8;1;2;4;52;3;1;12;1;2;0;0;0;4;2;0;0;11;0;0;0;0;4;13;0
2018;TR212;Edirne;Male;2080;65;192;42;10;30;286;94;37;118;112;74;1;4;2;115;81;2;28;80;109;74;19;22;31;451;1
2018;TR212;Edirne;Female;65;1;8;1;0;2;16;1;0;8;0;5;0;0;0;2;0;0;1;4;0;3;1;2;0;10;0
2018;TR213;Kırklareli;Male;1309;38;169;38;9;22;237;69;20;79;39;14;0;2;1;38;43;1;16;119;77;51;13;12;43;159;0
2018;TR213;Kırklareli;Female;41;1;4;0;0;3;7;0;1;11;0;1;0;0;0;3;0;0;0;4;0;2;0;0;0;4;0
2018;TR221;Balıkesir;Male;5297;259;735;145;73;101;730;248;128;243;108;98;1;9;1;66;249;17;134;413;78;316;58;74;137;875;1
2018;TR221;Balıkesir;Female;244;2;13;2;7;8;64;9;4;11;3;9;1;0;0;3;1;0;5;35;0;4;2;1;1;59;0
2018;TR222;Çanakkale;Male;2156;62;244;47;29;34;304;86;57;33;86;60;0;3;0;39;64;11;29;141;85;105;21;36;53;523;4
2018;TR222;Çanakkale;Female;86;3;6;2;1;6;15;0;4;1;1;1;0;0;0;3;0;0;1;8;0;6;0;3;2;23;0
2018;TR310;İzmir;Male;20121;600;2250;399;192;343;3229;1408;729;1000;1413;770;7;11;8;481;716;15;342;996;163;840;206;248;327;3422;6
2018;TR310;İzmir;Female;678;14;45;3;10;23;157;24;41;40;6;28;1;0;0;11;11;0;1;79;0;19;7;17;9;132;0
2018;TR321;Aydın;Male;5161;140;599;117;85;118;910;339;150;228;204;134;1;17;2;72;234;12;85;303;32;298;48;91;113;828;1
2018;TR321;Aydın;Female;236;4;29;2;4;8;48;10;14;7;6;7;1;1;0;1;3;0;0;34;0;15;1;2;1;38;0
2018;TR322;Denizli;Male;4543;141;519;126;99;89;694;260;178;139;82;114;1;3;0;88;204;2;64;699;18;221;54;52;91;605;0
2018;TR322;Denizli;Female;240;5;14;1;3;8;46;13;10;12;6;3;1;0;0;3;4;0;1;45;0;6;3;4;1;51;0
2018;TR323;Muğla;Male;3862;121;620;101;67;73;500;116;137;214;51;131;1;6;43;61;260;10;40;255;25;197;51;50;86;646;0
2018;TR323;Muğla;Female;139;7;10;0;2;5;33;3;8;7;4;6;0;1;0;3;3;0;0;5;0;5;4;3;3;27;0
2018;TR331;Manisa;Male;5843;195;867;175;81;115;925;328;198;306;131;118;0;2;0;118;235;8;66;466;25;376;62;76;135;833;2
2018;TR331;Manisa;Female;255;6;32;3;4;11;51;10;14;15;1;5;0;0;1;5;2;0;0;28;0;6;2;1;2;56;0
2018;TR332;Afyonkarahisar;Male;2708;108;405;70;60;53;348;118;106;92;29;80;1;7;2;75;94;6;45;257;22;185;26;36;38;445;0
2018;TR332;Afyonkarahisar;Female;120;7;18;0;1;2;27;6;1;9;1;2;1;0;0;4;1;1;0;10;0;4;0;2;1;22;0
2018;TR333;Kütahya;Male;1617;67;221;43;34;48;231;61;43;48;21;39;0;1;0;34;49;6;17;196;10;105;24;24;43;252;0
2018;TR333;Kütahya;Female;71;0;8;1;1;4;16;0;2;3;0;3;0;0;0;4;0;0;0;8;0;3;1;0;0;17;0
2018;TR334;Uşak;Male;1261;61;187;31;17;28;144;67;48;106;28;35;0;2;0;25;35;3;14;144;0;69;20;13;24;159;1
2018;TR334;Uşak;Female;100;4;7;1;1;1;20;5;6;8;0;3;0;0;0;2;2;0;1;7;0;2;2;1;2;25;0
2018;TR411;Bursa;Male;9184;276;1235;197;129;178;1633;476;303;491;440;296;3;6;2;161;294;12;302;596;33;430;104;104;251;1231;1
2018;TR411;Bursa;Female;420;9;36;1;2;8;120;5;5;68;8;9;1;0;0;3;3;1;2;35;0;17;2;1;6;78;0
2018;TR412;Eskişehir;Male;2673;98;501;80;41;62;444;169;89;92;97;48;2;2;0;37;159;2;41;177;24;102;26;25;55;296;4
2018;TR412;Eskişehir;Female;165;3;18;0;2;6;45;7;5;17;2;5;1;0;0;2;2;0;1;18;0;6;2;2;0;21;0
2018;TR413;Bilecik;Male;863;25;115;17;3;21;120;19;23;8;22;20;1;1;1;14;34;4;17;51;19;40;8;11;28;240;1
2018;TR413;Bilecik;Female;29;0;2;0;0;1;4;0;1;0;0;0;0;0;0;1;1;0;0;5;0;5;0;0;2;7;0
2018;TR421;Kocaeli;Male;4954;190;710;157;88;73;823;277;195;470;147;177;0;2;3;101;169;37;112;79;35;191;69;44;94;708;3
2018;TR421;Kocaeli;Female;230;2;15;0;4;2;87;8;9;16;4;10;0;0;0;4;0;0;0;7;0;8;4;3;2;45;0
2018;TR422;Sakarya;Male;3266;115;433;72;89;60;487;87;95;140;169;138;0;1;0;84;156;42;116;254;16;176;46;31;33;426;0
2018;TR422;Sakarya;Female;140;1;9;0;6;0;50;3;4;1;5;3;0;0;0;1;5;0;0;20;0;5;0;1;0;26;0
2018;TR423;Düzce;Male;1211;44;136;29;19;29;221;66;15;76;78;19;1;1;0;21;45;7;26;109;3;75;14;18;32;127;0
2018;TR423;Düzce;Female;38;2;3;0;1;1;10;0;0;2;1;1;0;0;0;1;2;1;1;7;0;3;0;0;0;2;0
2018;TR424;Bolu;Male;911;20;177;21;19;22;121;21;30;28;11;24;0;1;0;33;67;8;6;133;5;40;6;12;13;93;0
2018;TR424;Bolu;Female;41;2;2;0;1;1;7;0;0;2;0;2;0;0;0;2;0;0;0;11;0;2;0;0;0;8;1
2018;TR425;Yalova;Male;982;22;122;17;11;17;131;33;38;87;54;29;0;1;1;16;40;4;36;39;1;43;11;8;100;121;0
2018;TR425;Yalova;Female;68;1;1;0;0;3;14;3;5;8;1;0;0;0;0;2;1;0;0;1;0;5;0;0;2;20;1
2018;TR510;Ankara;Male;12841;421;1627;286;149;183;2987;916;546;840;351;508;2;17;4;354;366;3;214;461;140;518;129;102;217;1496;4
2018;TR510;Ankara;Female;567;10;36;3;8;10;186;26;28;40;11;20;1;1;1;7;6;0;4;25;0;19;8;4;7;105;1
2018;TR521;Konya;Male;7058;194;886;133;89;124;1288;481;144;460;205;174;6;6;0;218;233;3;101;932;24;314;55;62;72;852;2
2018;TR521;Konya;Female;287;6;25;2;3;4;53;11;6;43;18;3;0;0;0;8;6;0;5;28;0;9;4;1;0;52;0
2018;TR522;Karaman;Male;959;69;168;47;18;27;142;43;9;36;10;15;0;0;0;10;60;3;25;57;1;65;16;20;14;103;1
2018;TR522;Karaman;Female;30;3;4;0;0;2;6;2;0;1;0;0;0;0;0;1;1;0;0;5;0;2;0;0;0;3;0
2018;TR611;Antalya;Male;11493;308;1318;284;165;204;2364;546;404;618;320;446;1;13;7;284;522;40;177;797;11;536;125;114;205;1681;3
2018;TR611;Antalya;Female;529;10;31;2;8;11;117;25;20;54;18;18;2;0;0;9;15;1;2;47;0;18;6;4;5;106;0
2018;TR612;Isparta;Male;1721;51;255;54;28;41;273;62;79;100;79;40;0;1;3;30;103;3;22;95;33;94;12;23;28;212;0
2018;TR612;Isparta;Female;119;4;15;0;2;1;19;4;1;17;11;1;0;0;0;2;3;0;0;16;0;1;0;2;2;18;0
